,ids
0,29655041
1,36700170
2,39780364
3,37814290
4,36175891
5,18120723
6,31653910
7,38207510
8,10747942
9,32964651
10,28868654
11,22675503
12,35946546
13,35192887
14,31752249
15,22773822
16,3702848
17,37421123
18,5210190
19,35225681
20,19759186
21,6488146
22,19857492
23,19136596
24,6750296
25,26542171
26,40075358
27,24379488
28,24346720
29,14844002
30,38731877
31,38043755
32,37159021
33,30998638
34,15499376
35,27230321
36,589939
37,24969336
38,40566905
39,21201032
40,35127433
41,36012172
42,33915023
43,753809
44,3571862
45,27197594
46,39551134
47,7241887
48,39649444
49,35192997
50,37912743
51,36110505
52,14844081
53,40075442
54,23593143
55,31555768
56,3080385
57,19529923
58,6553796
59,39780549
60,29655240
61,25264330
62,19038415
63,21856463
64,14057684
65,27951328
66,38174946
67,39715045
68,17137900
69,27853037
70,12452076
71,33358063
72,29819119
73,37454066
74,35422450
75,33358079
76,40567041
77,28246274
78,8814850
79,14221576
80,37650696
81,37880079
82,29851934
83,40042785
84,8454437
85,26738983
86,28541224
87,16056632
88,36667707
89,13041989
90,29851980
91,35127630
92,38961490
93,9797971
94,24248660
95,27165023
96,1900901
97,26444134
98,32735595
99,28442988
100,25690485
101,35258747
102,33685884
103,15663486
104,33096066
105,37388682
106,38764940
107,5996942
108,40206736
109,35651986
110,29131160
111,34177434
112,36569499
113,6914461
114,28934572
115,21922221
116,2458029
117,3703220
118,6193594
119,34144699
120,19825093
121,40010185
122,13795794
123,33915352
124,34505176
125,39551455
126,39748064
127,28246501
128,15303151
129,28803574
130,1278457
131,37257725
132,4424195
133,17859080
134,37323283
135,33489429
136,1573401
137,37683739
138,31392287
139,27361825
140,31490594
141,23790115
142,36143654
143,7733798
144,34112042
145,15008301
146,20709934
147,14942768
148,28738098
149,39551538
150,10289719
151,31490616
152,32309819
153,32342590
154,20054600
155,26804816
156,13140562
157,22086231
158,37880407
159,983640
160,32080474
161,23233115
162,26804834
163,3932775
164,15762034
165,21136000
166,38601344
167,17367682
168,20382337
169,15336071
170,27329161
171,36110990
172,20775567
173,29655696
174,40534674
175,17793689
176,19038878
177,36111013
178,27361959
179,11436712
180,28115625
181,32309929
182,35259050
183,36143789
184,39781039
185,20120242
186,25625268
187,34013879
188,32637624
189,28017339
190,36733628
191,35095234
192,37094083
193,37061319
194,4457161
195,14615244
196,10879699
197,12714714
198,11436765
199,36537053
200,22479583
201,12288736
202,26903277
203,40895214
204,5604080
205,4162304
206,6423299
207,40862469
208,15500042
209,29033236
210,28181270
211,35062554
212,36242202
213,41026335
214,37323552
215,11436834
216,25035559
217,32539435
218,7602989
219,40993582
220,5210927
221,30245678
222,19694382
223,5210931
224,38044470
225,36668214
226,29950782
227,22086468
228,11436874
229,30016330
230,36668235
231,23167825
232,36832082
233,31785815
234,27427671
235,28803937
236,35095398
237,29819757
238,33948525
239,13108080
240,24249202
241,20120441
242,35128200
243,164750
244,24773530
245,36340646
246,32637868
247,15500209
248,12321714
249,2163634
250,6489012
251,40371125
252,40371128
253,40174522
254,37880774
255,32310215
256,40698824
257,40141770
258,14058443
259,37389259
260,24150989
261,36242388
262,9995220
263,32637916
264,41026524
265,21169118
266,11240415
267,4096995
268,23561187
269,40010734
270,30770171
271,22512644
272,38896659
273,33162261
274,24183839
275,39748647
276,33948713
277,37618731
278,35914799
279,18875441
280,37782577
281,29852725
282,39650361
283,27264058
284,40731710
285,1475647
286,20120640
287,19661890
288,3638346
289,13501521
290,33031252
291,38896724
292,22152280
293,34505822
294,37422178
295,39748706
296,32310372
297,31818850
298,39519335
299,36832360
300,37454958
301,40895599
302,24151155
303,32638070
304,34014344
305,37323913
306,38896782
307,32048272
308,31622289
309,32310418
310,40666257
311,35652758
312,39224473
313,11207835
314,32867490
315,37618851
316,27100328
317,41026728
318,33948840
319,31098027
320,36668595
321,40305843
322,31851709
323,21398720
324,29099202
325,40633539
326,36766917
327,17302725
328,40862919
329,13042888
330,14091465
331,37651654
332,39126219
333,39978182
334,40633552
335,32310482
336,37258453
337,39191765
338,32638172
339,40469726
340,37487838
341,32670946
342,15664364
343,27788525
344,40043762
345,4097267
346,20677880
347,10945786
348,32081151
349,8455435
350,25920781
351,21398801
352,27034898
353,17892626
354,40371477
355,33850648
356,19662106
357,29918492
358,36832541
359,24151326
360,34276639
361,25232674
362,32769316
363,24085799
364,35489072
365,39945520
366,36242736
367,17827123
368,32310581
369,24151351
370,39585081
371,6686012
372,31262012
373,25265475
374,36832582
375,25134415
376,38667615
377,30934371
378,24446309
379,28607846
380,29885798
381,40306032
382,40863092
383,26641784
384,36832640
385,34506116
386,32310664
387,22316426
388,33719692
389,15041932
390,30377360
391,13075856
392,36242844
393,39650718
394,36603295
395,8226212
396,38962597
397,13960617
398,35456427
399,34932141
400,230836
401,32015799
402,36832699
403,5014976
404,24708547
405,1672647
406,40633800
407,23496136
408,38897099
409,12584395
410,39519693
411,37488086
412,3638744
413,38045144
414,4720091
415,39749087
416,32769505
417,13764068
418,36832741
419,28739054
420,21661168
421,36603379
422,198135
423,39847417
424,2459132
425,36242944
426,39716352
427,38209026
428,15271428
429,39749125
430,28542471
431,15173129
432,25036298
433,27133454
434,34571793
435,36832790
436,14091800
437,3376665
438,38962712
439,4359719
440,16909872
441,13174322
442,39814708
443,9995828
444,1541692
445,36603454
446,4163146
447,25167438
448,36832846
449,37258833
450,34145873
451,26445394
452,6129236
453,37455441
454,22414936
455,39749211
456,36537948
457,32245343
458,13141600
459,15926884
460,11634283
461,27166317
462,34080366
463,24446580
464,31852150
465,32900727
466,40175226
467,27526780
468,37258884
469,32671366
470,38733447
471,36275848
472,25069194
473,40011404
474,36210316
475,28444302
476,14943884
477,15566486
478,4785815
479,9406105
480,35325594
481,40470182
482,26707623
483,33621682
484,39028411
485,19695291
486,39388866
487,41027269
488,39585480
489,35325642
490,23463627
491,21726928
492,35096273
493,21366482
494,39028448
495,2688739
496,26707687
497,19891950
498,35325680
499,11077364
500,28804857
501,8652541
502,19662590
503,16975615
504,15042311
505,24184593
506,38864660
507,33556246
508,21890842
509,26642205
510,32474912
511,38078250
512,38700845
513,39651121
514,39061314
515,35194693
516,11732807
517,35620682
518,28608336
519,38897490
520,15271772
521,20121438
522,34309983
523,32474982
524,37521255
525,32147304
526,38405999
527,39749494
528,32081787
529,34310020
530,34998153
531,2819982
532,1947
533,40699814
534,19662762
535,15435694
536,33163191
537,34441147
538,31590334
539,38700991
540,33228736
541,29919180
542,32868303
543,23496668
544,32212957
545,12683231
546,39552992
547,32671715
548,13207526
549,37521390
550,10487791
551,755701
552,23431158
553,18876406
554,395257
555,21563403
556,32540702
557,27101218
558,41027630
559,29886515
560,35194932
561,3835961
562,39290937
