,ids
6074,12932496
6075,38491537
6076,21878178
6077,22730148
6078,30954917
6079,21255588
6080,21583281
6081,34723256
6082,36492735
6083,20862404
6084,40261070
6085,39081432
6086,18109915
6087,7853533
6088,31380957
6089,3298786
6090,34624999
6091,36230632
6092,26138093
6093,40883695
6094,23549428
6095,19158517
6096,40490490
6097,611839
6098,18601472
6099,15914497
6100,27055621
6101,19912198
6102,18077204
6103,37705237
6104,21059094
6105,37475866
6106,29742620
6107,17946171
6108,25417284
6109,7132740
6110,10278470
6111,20796999
6112,21550660
6113,28333648
6114,39048786
6115,35903060
6116,40228440
6117,27776601
6118,27481696
6119,16635497
6120,37934697
6121,34625131
6122,24041071
6123,37049969
6124,40326777
6125,30430843
6126,40162940
6127,9590401
6128,17389190
6129,27580039
6130,39081608
6131,37803656
6132,40064647
6133,37803662
6134,28432015
6135,22599315
6136,38131350
6137,20076199
6138,32167591
6139,36427434
6140,31741615
6141,31708863
6142,32855743
6143,39605954
6144,20928198
6145,34887366
6146,32659154
6147,36198100
6148,39507670
6149,28432105
6150,38229747
6151,6051576
6152,36034297
6153,34887416
6154,32954120
6155,20174600
6156,38983434
6157,4347659
6158,7198481
6159,8148756
6160,24205077
6161,21321497
6162,36394778
6163,28333851
6164,24729381
6165,7919400
6166,32659241
6167,24368938
6168,34887464
6169,38098740
6170,12343100
6171,39704382
6172,20666176
6173,18339649
6174,34625345
6175,38754120
6176,7067466
6177,38917964
6178,4183886
6179,35739472
6180,24827736
6181,22362
6182,8181598
6183,26335071
6184,40064865
6185,37738337
6186,22206309
6187,21157736
6188,35772279
6189,34887545
6190,28301181
6191,14702468
6192,9164681
6193,14014347
6194,18208652
6195,37738382
6196,15521681
6197,39311256
6198,23844764
6199,36984735
6200,40654753
6201,36591524
6202,20633511
6203,29906861
6204,36263855
6205,30693296
6206,9492399
6207,33740724
6208,32364469
6209,36263867
6210,40097723
6211,35149761
6212,36427716
6213,36001736
6214,40982472
6215,32790472
6216,14669774
6217,22435792
6218,2512850
6219,37902291
6220,32135123
6221,40425426
6222,4872152
6223,40654809
6224,20862938
6225,27547611
6226,31512539
6227,22763488
6228,23484393
6229,39966700
6230,25843693
6231,23746545
6232,186353
6233,37181426
6234,12507128
6235,13621242
6236,35510279
6237,29874185
6238,33150986
6239,40785937
6240,21354514
6241,33249303
6242,39966747
6243,13981725
6244,1759266
6245,19978276
6246,39671845
6247,18241576
6248,7395368
6249,34887724
6250,37148719
6251,26925109
6252,30365762
6253,39606339
6254,6740039
6255,20928585
6256,39082057
6257,38426699
6258,31283275
6259,35346506
6260,34887760
6261,40753233
6262,35084376
6263,14964829
6264,36067428
6265,32725096
6266,20174957
6267,40949874
6268,14899316
6269,23124088
6270,40753273
6271,33642617
6272,350347
6273,39901324
6274,19716246
6275,26663062
6276,7854234
6277,36001948
6278,1759389
6279,37804193
6280,6183074
6281,36427939
6282,40425634
6283,25319591
6284,30693543
6285,33937582
6286,39704752
6287,16767153
6288,34789558
6289,17717430
6290,1333431
6291,36231354
6292,34789562
6293,32757953
6294,22829250
6295,32921794
6296,24598724
6297,38230216
6298,34887882
6299,39082188
6300,17717455
6301,40065232
6302,153809
6303,28367058
6304,37116111
6305,35182808
6306,26597593
6307,25942236
6308,16570590
6309,14276843
6310,24140016
6311,30693617
6312,30300401
6313,30890226
6314,34887928
6315,38951161
6316,29120761
6317,14506233
6318,31086846
6319,35641606
6320,37083404
6321,37116172
6322,28367120
6323,39442704
6324,14473491
6325,18700565
6326,19093790
6327,33249568
6328,28137764
6329,31447337
6330,39115052
6331,20601137
6332,18209082
6333,12867902
6334,8608064
6335,25418048
6336,37345612
6337,40261971
6338,3627357
6339,27253087
6340,28891487
6341,34920801
6342,39836023
6343,29612412
6344,34625919
6345,39082367
6346,21748100
6347,28367240
6348,26106260
6349,19585431
6350,36526495
6351,40950179
6352,24631726
6353,6773167
6354,39082419
6355,38623669
6356,37902781
6357,34396606
6358,35183040
6359,31021510
6360,28367306
6361,35346891
6362,38099421
6363,9165281
6364,40229349
6365,23419369
6366,39180783
6367,33872370
6368,30562803
6369,22927863
6370,31087095
6371,38623738
6372,40425979
6373,39672315
6374,28367357
6375,25745919
6376,38001154
6377,24631833
6378,22567457
6379,31021607
6380,38132264
6381,18242088
6382,39442986
6383,5102125
6384,24697393
6385,37247538
6386,36067891
6387,39934516
6388,13097527
6389,27056704
6390,38328897
6391,16996930
6392,27875912
6393,26597961
6394,6576714
6395,27187793
6396,34789979
6397,31545954
6398,39410275
6399,33118826
6400,40262251
6401,8936044
6402,25942641
6403,27679349
6404,28138106
6405,18668156
6406,24599174
6407,40065670
6408,37968518
6409,38492820
6410,32266902
6411,29481624
6412,23616159
6413,18963114
6414,40426157
6415,7264941
6416,37444272
6417,34790065
6418,11459249
6419,1628859
6420,35347134
6421,40983239
6422,40229581
6423,40753873
6424,32168658
6425,38066904
6426,40557273
6427,12933857
6428,20536034
6429,40655587
6430,35347177
6431,6150893
6432,26467060
6433,15391481
6434,28433148
6435,14801668
6436,21551878
6437,4840199
6438,38951691
6439,21814029
6440,31808272
6441,39607058
6442,19553044
6443,39607063
6444,27810584
6445,33577754
6446,38394654
6447,21650209
6448,35674916
6449,25418535
6450,38558504
6451,14539561
6452,20306736
6453,40721200
6454,21879603
6455,36133691
6456,35642174
6457,29940545
6458,33020742
6459,40426317
6460,28695385
6461,35576675
6462,8706915
6463,32070502
6464,20208487
6465,24894316
6466,3300206
6467,14474109
6468,16604031
6469,22109063
6470,23681927
6471,34528139
6472,22633355
6473,30530448
6474,37149589
6475,15162267
6476,5790620
6477,18504605
6478,38165407
6479,12802975
6480,28203937
6481,33938341
6482,16178088
6483,37247917
6484,318382
6485,26565556
6486,26532793
6487,33708987
6488,28236738
6489,8739779
6490,14015429
6491,21846991
6492,33119183
6493,21912531
6494,1989590
6495,21289942
6496,34364374
6497,24894425
6498,11983838
6499,26860512
6500,32037862
6501,30825447
6502,2907112
6503,30825449
6504,30825450
6505,28236779
6506,30825452
6507,35314668
6508,2087914
6509,29187058
6510,8936446
6511,24042495
6512,28236802
6513,28564489
6514,39312395
6515,20995084
6516,35511310
6517,9133070
6518,12868626
6519,35740692
6520,33938464
6521,23223330
6522,28236839
6523,23026729
6524,40721452
6525,37805101
6526,40688686
6527,8051756
6528,35281974
6529,29645883
6530,28236865
6531,11525186
6532,39738435
6533,37018693
6534,24894540
6535,4217933
6536,14474320
6537,31284304
6538,28236884
6539,7855198
6540,20503650
6541,2874467
6542,11459685
6543,13687910
6544,36068460
6545,37149805
6546,32463987
6547,36199542
6548,2874486
6549,21486716
6550,37051517
6551,5201022
6552,5201023
6553,8019077
6554,3497096
6555,28236949
6556,22371480
6557,40688794
6558,18668702
6559,40688798
6560,28236962
6561,29547690
6562,34757808
6563,31874230
6564,26991799
6565,39050423
6566,28499135
6567,39804099
6568,39115977
6569,36658380
6570,38427861
6571,28531930
6572,32693466
6573,24894684
6574,37313756
6575,21486813
6576,12541151
6577,37936352
6578,4218075
6579,38100198
6580,37739751
6581,40262894
6582,35904754
6583,3038452
6584,23387384
6585,19586298
6586,16932097
6587,40688897
6588,35118337
6589,7527688
6590,32496904
6591,34888974
6592,22535439
6593,13098256
6594,39017743
6595,24894740
6596,5823764
6597,35118359
