,ids
3038,26192394
3039,17345036
3040,37530126
3041,32811536
3042,20654624
3043,34744868
3044,35334694
3045,20228648
3046,3254826
3047,27339309
3048,38119987
3049,13478467
3050,33663558
3051,19245639
3052,39201352
3053,30485065
3054,16067153
3055,33466965
3056,3811926
3057,15116890
3058,38546013
3059,40479341
3060,3385966
3061,2730613
3062,22588022
3063,13937282
3064,26815108
3065,40708741
3066,28715658
3067,40938122
3068,29534860
3069,39791249
3070,28912279
3071,21342873
3072,27765403
3073,27732644
3074,37333669
3075,24521388
3076,38021812
3077,36055734
3078,13281983
3079,39004864
3080,10945
3081,18918084
3082,35236552
3083,7482058
3084,25307850
3085,40282827
3086,21539533
3087,37628621
3088,27962066
3089,25799378
3090,22653652
3091,38644435
3092,36547289
3093,35039966
3094,20032223
3095,26389216
3096,26421984
3097,16001758
3098,39070436
3099,6957805
3100,34482925
3101,38382318
3102,16853744
3103,37530353
3104,40381172
3105,31566580
3106,24488692
3107,7613172
3108,37104376
3109,15379201
3110,36711170
3111,6990605
3112,40938267
3113,29960994
3114,8563504
3115,21801779
3116,40872757
3117,22883136
3118,29731651
3119,23505733
3120,34941768
3121,32353097
3122,39365453
3123,23669582
3124,37923664
3125,23997271
3126,4631385
3127,10136412
3128,31402846
3129,37530463
3130,4598631
3131,36940648
3132,39136106
3133,39791476
3134,20425593
3135,29076348
3136,21474174
3137,5712768
3138,20818822
3139,10595206
3140,37202831
3141,863120
3142,40086419
3143,2042771
3144,29371285
3145,699284
3146,34122651
3147,29338532
3148,33270697
3149,11676587
3150,36875185
3151,21212082
3152,16001970
3153,20294580
3154,2075573
3155,764856
3156,7875516
3157,6892477
3158,27962306
3159,16001987
3160,19934150
3161,33074120
3162,7678925
3163,31894483
3164,40610772
3165,7416788
3166,32746456
3167,40610780
3168,34810846
3169,7810018
3170,23964643
3171,7810030
3172,20917235
3173,44020
3174,4631540
3175,14298102
3176,6499322
3177,38382586
3178,20524028
3179,29371395
3180,25078793
3181,37301258
3182,29436937
3183,6925326
3184,22752271
3185,34974735
3186,39103509
3187,22424599
3188,22752279
3189,29076506
3190,31861789
3191,15510564
3192,24620069
3193,2042917
3194,22588455
3195,32746538
3196,39136306
3197,36318260
3198,28781622
3199,29011000
3200,22031417
3201,39300154
3202,39791687
3203,33107019
3204,20458572
3205,16723022
3206,39365713
3207,39267418
3208,6794333
3209,28978271
3210,26553443
3211,35007591
3212,38120553
3213,39267441
3214,39922803
3215,39922810
3216,21736570
3217,23342203
3218,8072314
3219,8596607
3220,26324097
3221,40709264
3222,28978322
3223,36547735
3224,40971423
3225,2305194
3226,7646381
3227,32386221
3228,12496049
3229,34811063
3230,32550072
3231,4730044
3232,36449471
3233,28912832
3234,2731202
3235,38382793
3236,2305230
3237,34647251
3238,38022363
3239,24784093
3240,34090205
3241,1944802
3242,38087907
3243,38644967
3244,34155756
3245,32877806
3246,14626036
3247,20622581
3248,37596406
3249,14429433
3250,37989627
3251,33565951
3252,2305280
3253,32288005
3254,37596429
3255,24784143
3256,33139995
3257,39038240
3258,34745632
3259,24489252
3260,1584422
3261,21933351
3262,31239469
3263,35302708
3264,26291511
3265,34975034
3266,31173958
3267,36023622
3268,5320006
